ID,Reference_Number,Article_Authors,Sponsor,Drug,Drug_Class,Control,group,Placebo_ctrl,Filter,CKD,No_Data,Original_dose,Dose_Frequency,Dose,days,Number_Arm,Number_Male,Number_Female,Region,Region_cont,change,change.sd,change.se,per,pse.sd,per.se
4.3,4,"Xu, S., et al. (2015; NCT02082769)",Xijing Hospital,Allopurinol,XOI,1,,0,High,0,0,300,Daily,300,168,159,149,10,China,,-0.296760711,,0.015712789,29.67607106,,1.57127888
5.3,5,"Becker, M. A., et al. (2005; NCT00102440)",Takeda,Allopurinol,XOI,1,,0,High,1,0,300,Daily,300,365,251,243,8,North.America,,-0.3299,0.1533,0.00967621,32.99,15.33,0.96762102
6.4,6,"Schumacher, H. R., Jr., et al. (2008; NCT00174915)",Takeda,Allopurinol,XOI,0,,1,High,1,0,300,Daily,300,196,268,249,19,North.America,,-0.34,,0.015712789,34,,1.57127888
7.3,7,"Becker, M. A., et al. (2010; NCT00430248)",Takeda,Allopurinol,XOI,0,,0,High,1,0,300,Daily,300,168,756,709,47,North.America,,-0.313,0.162,0.005891883,31.3,16.2,0.589188304
3.2,3,"Goldfarb, D. S., et al. (2013; NCT01077284)",Takeda,Allopurinol,XOI,0,,1,Normal,0,0,300,Daily,300,168,33,31,2,North.America,,-0.262,,0.015712789,26.2,,1.57127888
1.2,1,"Becker, M. A., et al. (2015; NCT01391325)",Ardea Biosciences,Allopurinol,XOI,0,,0,High,1,0,300,Daily,300,168,1132,1063,69,Multinational,,-0.251,,0.015712789,25.1,,1.57127888
27.3,27,"Kamatani, N., et al. (2011b)",Teijin Pharma Ltd,Allopurinol,XOI,1,,0,High,0,0,100,Thrice Daily,300,112,16,16,0,Japan,,-0.3655,0.1859,0.046475,36.55,18.59,4.6475
28.2,28,"Kamatani, N., et al. (2011c)",Teijin Pharma Ltd,Allopurinol,XOI,1,,0,High,0,0,100,Twice Daily,200,112,120,118,2,Japan,,-0.3431,,0.015712789,34.31,,1.57127888
30.3,30,"Huang, X., et al. (2014)",,Allopurinol,XOI,1,,0,High,0,0,300,Daily,300,196,172,168,4,China,,-0.326633166,,0.015712789,32.66331658,,1.57127888
32.3,32,NCT00230178,Sanofi,Allopurinol,XOI,1,,0,,0,0,300,Daily,300,5,91,64,27,North.America,,,,0.015712789,,,
35.2,35,"Goldman, S. C., et al. (2001)",,Allopurinol,XOI,1,,0,Normal,0,0,100,Q8h,300,7,25,18,7,North.America,,-0.661764706,,0.015712789,66.17647059,,1.57127888
46.1,45,"Hosoya, T., et al. (2016a)",,Allopurinol,XOI,1,,0,High,0,0,200,Daily,200,112,105,104,1,Japan,,-0.343,0.111,0.010832491,34.3,11.1,1.083249081
49.3,48,"Hosoya, T., et al. (2017)",,Allopurinol,XOI,0,,1,High,0,0,200,Daily,200,112,38,38,0,Japan,,-0.4018,0.103,0.016708806,40.18,10.3,1.670880638
52.1,51,"Turnheim, K., et al. (1999)",,Allopurinol,XOI,0,,0,High,0,0,200,Daily,200,1,10,6,4,Europe,,,,0.015712789,,,
52.2,51,"Turnheim, K., et al. (1999)",,Allopurinol,XOI,1,,0,High,0,0,200,Daily,200,1,9,4,5,Europe,,,,0.015712789,,,1.57127888
53.2,52,"Tausche, A. K., et al. (2014)",,Allopurinol,XOI,1,,0,High,1,0,461,Daily,461,365,9,9,0,Europe,,-0.389344262,,0.015712789,38.93442623,,1.57127888
55.1,54,"Stocker, S. L., et al. (2008)",,Allopurinol,XOI,0,,0,Normal,0,0,150,Twice Daily,300,7,11,3,8,Australia,,-0.466666667,,0.015712789,46.66666667,,1.57127888
56.2,55,"Singal, K. K., et al. (2011)",,Allopurinol,XOI,1,,0,,0,0,300,Daily,300,168,50,,,India,,,,0.015712789,,,
57,56,"Shelmadine, B., et al. (2009)",,Allopurinol,XOI,0,,0,High,1,0,300,Daily,300,84,12,8,4,North.America,,-0.348469891,,0.015712789,34.84698914,,1.57127888
58.1,57,"Perez-Ruiz, F., et al. (1998)",,Allopurinol,XOI,1,,0,High,0,0,300,Daily,300,,23,23,0,Europe,,-0.319767442,,0.015712789,31.97674419,,1.57127888
