ID,Reference_Number,Article_Authors,Sponsor,Drug,Drug_Class,Control,group,Placebo_ctrl,Filter,CKD,No_Data,Original_dose,Dose_Frequency,Dose,days,Number_Arm,Number_Male,Number_Female,Region,Region_cont,change,change.sd,change.se,per,per.sd,per.se
4.1,4,"Xu, S., et al. (2015; NCT02082769)",Xijing Hospital,Febuxostat,XOI,0,,0,High,0,0,80,Daily,80,168,158,146,12,China,,-0.382233233,,0.045010913,38.22332331,,4.501091294
4.2,4,"Xu, S., et al. (2015; NCT02082769)",Xijing Hospital,Febuxostat,XOI,0,,0,High,0,0,40,Daily,40,168,160,158,2,China,,-0.32489301,,0.045010913,32.489301,,4.501091294
5.1,5,"Becker, M. A., et al. (2005; NCT00102440)",Takeda,Febuxostat,XOI,0,,0,High,1,0,80,Daily,80,365,255,243,12,North.America,,-0.4473,0.191,0.011960884,44.73,19.1,1.196088396
5.2,5,"Becker, M. A., et al. (2005; NCT00102440)",Takeda,Febuxostat,XOI,0,,0,High,1,0,120,Daily,120,365,250,243,7,North.America,,-0.5152,0.1991,0.01259219,51.52,19.91,1.259218964
6.1,6,"Schumacher, H. R., Jr., et al. (2008; NCT00174915)",Takeda,Febuxostat,XOI,0,,1,High,1,0,80,Daily,80,196,267,251,16,North.America,,-0.48,,0.045010913,48,,4.501091294
6.2,6,"Schumacher, H. R., Jr., et al. (2008; NCT00174915)",Takeda,Febuxostat,XOI,0,,1,High,1,0,120,Daily,120,196,269,256,13,North.America,,-0.55,,0.045010913,55,,4.501091294
6.3,6,"Schumacher, H. R., Jr., et al. (2008; NCT00174915)",Takeda,Febuxostat,XOI,0,,1,High,1,0,240,Daily,240,196,134,126,8,North.America,,-0.68,,0.045010913,68,,4.501091294
7.1,7,"Becker, M. A., et al. (2010; NCT00430248)",Takeda,Febuxostat,XOI,0,,0,High,1,0,40,Daily,40,168,757,722,35,North.America,,-0.331,0.155,0.005633571,33.1,15.5,0.563357082
7.2,7,"Becker, M. A., et al. (2010; NCT00430248)",Takeda,Febuxostat,XOI,0,,0,High,1,0,80,Daily,80,168,756,710,46,North.America,,-0.406,0.199,0.00723756,40.6,19.9,0.723756003
3.1,3,"Goldfarb, D. S., et al. (2013; NCT01077284)",Takeda,Febuxostat,XOI,0,,1,Normal,1,0,80,Daily,80,168,33,27,6,North.America,,-0.473,,0.045010913,47.3,,4.501091294
9.1,9,"Becker, M. A., et al. (2009; NCT00175019)",Takeda,Febuxostat,XOI,0,,0,High,1,0,80,Daily,80,480,649,,,North.America,,,,,,,
9.2,9,"Becker, M. A., et al. (2009; NCT00175019)",Takeda,Febuxostat,XOI,0,,0,High,1,0,120,Daily,120,480,292,,,North.America,,,,,,,
10.1,10,"Spina, M., et al. (2015; NCT01724528)",Menarini Group,Febuxostat,XOI,0,,0,Normal,0,0,120,Daily,120,9,173,108,65,Multinational,,-0.522783251,,0.045010913,52.27832513,,4.501091294
14.1,14,"Saag, K. G., et al. (2019; NCT02139046)",Takeda,Febuxostat IR,XOI,0,,1,High,1,0,40,Daily,40,84,357,311,46,North.America,,,,,,,
14.2,14,"Saag, K. G., et al. (2019; NCT02139046)",Takeda,Febuxostat XR,XOI,0,,1,High,1,0,40,Daily,40,84,355,312,43,North.America,,,,,,,
14.3,14,"Saag, K. G., et al. (2019; NCT02139046)",Takeda,Febuxostat IR,XOI,0,,1,High,1,0,80,Daily,80,84,357,315,42,North.America,,,,,,,
14.4,14,"Saag, K. G., et al. (2019; NCT02139046)",Takeda,Febuxostat XR,XOI,0,,1,High,1,0,80,Daily,80,84,357,323,34,North.America,,,,,,,
15.1,15,"Gunawardhana, L., et al. (2018; NCT02128490)",Takeda,Febuxostat IR,XOI,0,,1,High,1,0,40,Daily,40,84,37,25,12,North.America,,,,,,,
15.2,15,"Gunawardhana, L., et al. (2018; NCT02128490)",Takeda,Febuxostat XR,XOI,0,,1,High,1,0,40,Daily,40,84,39,26,13,North.America,,,,,,,
